Date,Title,Link,Post ID,Posted Date,Latitude,Longitude
01.01.2025,أعمال بناء قاعدة التحالف الدولي في كوباني,https://syria.liveuamap.com/ar/2025/2-january-10-construction-work-of-the-international-coalition,22726392,2 الشهر منذ,36.88015,38.35344
01.01.2025,وزير خارجية الإدارة السورية ووزير الدفاع ورئيس الاستخبارات يصلون الرياض,https://syria.liveuamap.com/ar/2025/1-january-19-syrian-foreign-minister-defense-minister-and,22726257,2 الشهر منذ,24.64448,46.694
01.01.2025,نائب وزير الخارجية السعودي يستقبل وفدا سوريا رفيع المستوى,https://syria.liveuamap.com/ar/2025/1-january-19-saudi-deputy-foreign-minister-receives-highlevel,22726256,2 الشهر منذ,24.6446,46.69347
01.01.2025,Ll سقوط 4 قتلى وعشرات المصابين في اشتباكات بين حركة رجال الكرامة وقوات شيخ الكرامة في السويداء,https://syria.liveuamap.com/ar/2025/1-january-15-4-dead-and-dozens-injured-in-clashes-between,22726194,2 الشهر منذ,32.70695,36.56387
01.01.2025,إعلام سوري: انفجار في دير جمال شمالي حلب,https://syria.liveuamap.com/ar/2025/1-january-15-explosion-in-deir-jamal-north-of-aleppo,22726196,2 الشهر منذ,36.44323,37.02667
01.01.2025,نفذ الجيش التركي قصفاً مدفعياً مكثفاً على قرية جوربرليك في ريف كري سبي (تل أبيض) الغربي، أدى إلى تدمير منازل وممتلكات المدنيين,https://syria.liveuamap.com/ar/2025/1-january-14-the-turkish-military-carried-out-extensive-artillery,22726193,2 الشهر منذ,36.68025,38.75187
01.01.2025,استقدمت قوات سوريا الديمقراطية تعزيزات عسكرية كبيرة إلى جبهة سد تشرين، في إطار تعزيز دفاعاتها ومواجهة التهديدات المتزايدة,https://syria.liveuamap.com/ar/2025/1-january-13-the-syrian-democratic-forces-have-brought-in,22726174,2 الشهر منذ,36.37914,38.17337
01.01.2025,نفذت طائرات مسيرة تركية هجوما على معمل للسكر في بلدة دير حافر الواقعة شرقي حلب في منطقة خاضعة لسيطرة الأكراد.,https://syria.liveuamap.com/ar/2025/1-january-13-turkish-drones-carried-out-an-attack-on-a-sugar,22726173,2 الشهر منذ,36.14647,37.72233
01.01.2025,"قصفت القوات التركية بالمدفعية الثقيلة منطقة جسر قره قوزاك وقرية ""بير حسو"" جنوب مدينة كوباني، ما أدى إلى أضرار مادية في منازل المدنيين وممتلكاتهم.",https://syria.liveuamap.com/ar/2025/1-january-12-turkish-forces-bombed-the-qarqozak-bridge-area,22726175,2 الشهر منذ,36.64611,38.22933
01.01.2025,اشتباكات عنيفة في ريف منبج الشرقي بين قوات سوريا الديمقراطية والجيش الوطني السوري بقيادة تركيا، الطيران التركي يقدم دعماً جوياً للجيش الوطني السوري في غارة شمال مسكنة,https://syria.liveuamap.com/ar/2025/1-january-12-fierce-clashes-in-the-eastern-countryside-of,22726142,2 الشهر منذ,36.45035,38.1519
01.01.2025,"الجسر الإنساني السعودي ""جوي بري""حيث ستصل شحنات جوية يومياً عبر مطار دمشق الدولي كذلك ستصل غداً 52 شاحنة مساعدات عبر الحدود السورية الأردنية",https://syria.liveuamap.com/ar/2025/1-january-08-the-saudi-humanitarian-bridge-air-and-land-where,22726072,2 الشهر منذ,33.41697,36.50877
01.01.2025,قوات سوريا الديمقراطية تسقط طائرة مسيرة فوق جسر قره قوزاك بريف كوباني الجنوبي,https://syria.liveuamap.com/ar/2025/1-january-08-sdf-have-shot-down-a-drone-over-qaraqozak-bridge,22726071,2 الشهر منذ,36.64143,38.21285
01.01.2025,"أجرى وفد من قوات سوريا الديمقراطية محادثات مع أحمد الشرع في دمشق، ركزت بشكل أساسي على الأمور العسكرية، ووصفت المحادثات بأنها ""إيجابية""",https://syria.liveuamap.com/ar/2024/31-december-17-a-sdf-delegation-held-discussions-with-ahmad,22725910,2 الشهر منذ,33.51292,36.27634
01.01.2025,انفجار دراجة نارية مفخخة في مدينة تل رفعت شمالي مدينة حلب,https://syria.liveuamap.com/ar/2024/31-december-16-a-boobytrapped-motorcycle-exploded-in-the,22725906,2 الشهر منذ,36.47014,37.09362
01.01.2025,عاجـــــــــــــــــــــــلطائرة مسيرة لأدارة العمليات العسكرية تستهدف حاجز لميليشيات قسد في حي الأشرفية بمحافظة حلب أدى إلى نفوق 3 عناصر وجرح عدد منهممازالت ميليشيات قسد تسيطر على حي الأشرفية والشيخ مقصود في حلب حتى هذه اللحظة وكل يوم يتم استهداف المدنيين بقناصات…,https://syria.liveuamap.com/ar/2024/31-december-15-a-drone-belonging-to-the-military-operations,22725908,2 الشهر منذ,36.2282,37.14581
01.01.2025,سوريا: نفذ سلاح الجو الفرنسي أمس غارتين جويتين ضد أهداف لتنظيم داعش في الصحراء، ولم يتم الكشف عن الموقع الدقيق للغارتين.,https://syria.liveuamap.com/ar/2024/31-december-11-syria-the-french-air-force-carried-out-yesterday,22725881,2 الشهر منذ,35.2534,39.63073
01.01.2025,"أردوغان: تركيا ستتخذ خطوات حاسمة في الفترة المقبلة لتحقيق ""منطقة خالية من الإرهاب""",https://syria.liveuamap.com/ar/2024/31-december-09-erdogan-trkiye-will-take-decisive-steps-in,22725856,2 الشهر منذ,39.92901,32.79874
01.01.2025,وذكرت قناة روناهي أن مفرق سيرين على الجبهة الجنوبية لمدينة كوباني تعرض لقصف من قبل المجموعات المسلحة المدعومة من تركيا.,https://syria.liveuamap.com/ar/2024/31-december-08-ronahi-tv-reports-that-the-sirin-junction,22725855,2 الشهر منذ,36.64002,38.2671
